instrument_key,symbol,latest_date,latest_close,latest_bb_width,10_percentile_threshold,avg_bb_width_lookback,squeeze_ratio,volume_ratio,breakout_readiness,breakdown_readiness,percentile_rank,category,optimal_range_min,optimal_range_max,optimal_range_avg,bbw_10th,bbw_25th,bbw_avg,in_optimal_range,about_to_enter,range_status,proximity_percentage,distance_to_range,trend_direction,trend_strength,trend_percentage,consecutive_days,first_bbw,last_bbw,days_analyzed
NSE_EQ|INE044A01036,SUNPHARMA,2025-06-20T00:00:00.000000,1665.1,0.03640404984094697,0.051698137288496725,0.09833021239459137,0.3702224266013013,0.9762301842826983,0.32314137882412836,0.6768586211758716,0.5813953488372093,C,0.05061916484394094,0.06182666894695432,0.05622291689544763,0.05061916484394094,0.06182666894695432,0.0895047365620162,false,false,BELOW_OPTIMAL,25.283488989780544,0.014215115002993967,CONTRACTING,MODERATE,-9.187276408867367,0,0.04008694861399535,0.03640404984094697,5
NSE_EQ|INE494B01023,TVSMOTOR,2025-06-20T00:00:00.000000,2812.1,0.038229298860211924,0.06307148916100166,0.13150904663373766,0.29069710288968426,0.8351867849222679,0.905954155984448,0.09404584401555205,2.3255813953488373,C,0.05862369230854148,0.08098689209590741,0.06980529220222445,0.05862369230854148,0.08098689209590741,0.1301540147716467,false,false,BELOW_OPTIMAL,29.216113570941634,0.020394393448329558,STABLE,WEAK,2.1614764033133356,0,0.037420464353207075,0.038229298860211924,5
NSE_EQ|INE254N01026,HNDFDS,2025-06-20T00:00:00.000000,532.5,0.03837018333874063,0.08667294918338594,0.13366124251036202,0.2870703774563969,0.4429479092374725,0.2642905146402935,0.7357094853597065,0.0,C,0.09137953189973162,0.11100673696689646,0.10119313443331404,0.09137953189973162,0.11100673696689646,0.1375339942395159,false,false,BELOW_OPTIMAL,52.38433304576012,0.053009348560990995,CONTRACTING,STRONG,-35.95320124362936,4,0.0599096037331983,0.03837018333874063,5
NSE_EQ|INE123W01016,SBILIFE,2025-06-20T00:00:00.000000,1810.9,0.03845080149429873,0.0496025596012672,0.10227564777520635,0.3759526566755216,0.5981239061140219,0.7663047573567986,0.2336952426432014,0.5813953488372093,C,0.051813821131314254,0.07389836134768933,0.0628560912395018,0.051813821131314254,0.07389836134768933,0.1115003771239959,false,false,BELOW_OPTIMAL,21.25970510335769,0.013363019637015527,CONTRACTING,MODERATE,-14.625847537608113,3,0.04503798911647956,0.03845080149429873,5
NSE_EQ|INE951I01027,VGUARD,2025-06-20T00:00:00.000000,376.75,0.03881788855657393,0.04816685090632182,0.1297394897360705,0.2991987145590082,0.35059168955230824,0.5056424002501415,0.4943575997498585,0.0,C,0.04837007759982216,0.07906796744792256,0.06371902252387236,0.04837007759982216,0.07906796744792256,0.12273730745667,false,false,BELOW_OPTIMAL,14.991110448484205,0.009552189043248234,CONTRACTING,MODERATE,-13.771624417778519,0,0.04501753430291615,0.03881788855657393,5
NSE_EQ|INE060A01024,NAVNETEDUL,2025-06-20T00:00:00.000000,140.35,0.039186670129853884,0.06729892169267473,0.09107327291098,0.4302762915763122,0.38894807757466593,0.235045191482088,0.764954808517912,1.744186046511628,C,0.06853265213507516,0.0793189894669063,0.07392582080099072,0.06853265213507516,0.0793189894669063,0.09270673309183691,false,false,BELOW_OPTIMAL,39.696525094014234,0.029345982005221274,STABLE,WEAK,-2.0510702342807567,0,0.04000724686179131,0.039186670129853884,5
NSE_EQ|INE002A01018,RELIANCE,2025-06-20T00:00:00.000000,1466.2,0.04089807912867834,0.049494653963635095,0.10077611916344391,0.4058310586692441,1.0405764469402885,1.0827323528971537,-0.08273235289715375,4.069767441860465,C,0.05067141843223936,0.07189839256451461,0.06128490549837698,0.05067141843223936,0.07189839256451461,0.10179398159979997,false,false,BELOW_OPTIMAL,15.947384146361857,0.009773339303561016,EXPANDING,MODERATE,11.547559706933733,0,0.036664252661491564,0.04089807912867834,5
NSE_EQ|INE216A01030,BRITANNIA,2025-06-20T00:00:00.000000,5587.0,0.04124089816332287,0.04636137068619057,0.08105163551779966,0.5088225289946925,0.9326867729157101,0.5673485824477386,0.43265141755226144,2.9069767441860463,C,0.04830879378904035,0.053789316797022355,0.05104905529303135,0.04830879378904035,0.053789316797022355,0.10181415843940064,false,false,BELOW_OPTIMAL,13.845301514683097,0.007067895625717482,CONTRACTING,STRONG,-22.82719093623645,4,0.05343967475545413,0.04124089816332287,5
NSE_EQ|INF666M01IH2,GROWWEV,2025-06-20T00:00:00.000000,28.98,0.04217800439220828,0.06088127506887168,0.10098164785248034,0.41767989817144074,0.6083614362576292,0.2707118762513648,0.7292881237486353,4.651162790697675,C,0.06521879748995163,0.07822209369323223,0.07172044559159194,0.06521879748995163,0.07822209369323223,0.10003602467699477,false,false,BELOW_OPTIMAL,32.125836513827394,0.023040793097743352,EXPANDING,MODERATE,11.346745712077414,4,0.03787987167696215,0.04217800439220828,5
NSE_EQ|INE066A01021,EICHERMOT,2025-06-20T00:00:00.000000,5525.0,0.042210562839861125,0.04315430120382159,0.11262781987387384,0.37477918765657176,1.3466653279731426,1.1689550476007997,-0.1689550476007997,6.395348837209303,C,0.045443127805507876,0.07577724814866996,0.06061018797708892,0.045443127805507876,0.07577724814866996,0.10562721363540863,false,true,BELOW_OPTIMAL,5.333368982238898,0.0032325649656467503,EXPANDING,STRONG,62.238072024228096,0,0.026017667932812676,0.042210562839861125,5
